,0
0,intuit
1,
2,adobe software
3,corel corporation
4,canopus/grass valley
5,sony creative software
6,activision
7,channel sources distribution co
8,ipswitch
9,microsoft
10,ibm software lotus shrinkwrap
11,webroot software
12,apple software
13,individual software
14,punch software
15,freeverse software
16,sage software
17,autodesk psg
18,autodesk
19,adobe
20,ca - retail
21,masque publishing
22,knowledge adventure
23,encore inc
24,symantec
25,encore
26,onone software
27,emedia
28,quark inc
29,sony online entertainment inc
30,csdc
31,sonicwall
32,eagle games
33,emc
34,topics entertainment
35,destineer inc
36,sony
37,adobe systems inc
38,nuance communications
39,navarre distribution services
40,avanquest usa
41,masque
42,sierrahome
43,allume systems
44,kutoka interactive
45,hummingbird ltd
46,nova development
47,symantec media
48,isi researchsoft
49,now software
50,enfocus
51,abacus software
52,checkpoint zonelabs
53,citrix sys
54,computer associates
55,onone software inc.
56,systran - boxed
57,aspyr media
58,quark
59,netopia
60,iolo technologies
61,mobi-cam
62,hp
63,aec software
64,palmspring software
65,ce software
66,global software
67,pinnacle systems
